['84:41:67:30:0C:B7', ' 2019-04-20 00:04:05', ' 2019-04-20 00:04:05', ' -45', '        6', ' (not associated) ', 'MaroonWifi']
['84:41:67:30:0C:B7', ' 2019-04-20 00:04:05', ' 2019-04-20 00:04:14', ' -49', '       43', ' E2:55:2D:EE:77:B4', 'MaroonWifi']
['84:41:67:30:0C:B7', ' 2019-04-20 00:04:05', ' 2019-04-20 00:04:14', ' -49', '       43', ' E2:55:2D:EE:77:B4', 'MaroonWifi']
['84:41:67:30:0C:B7', ' 2019-04-20 00:04:05', ' 2019-04-20 00:04:14', ' -49', '       43', ' E2:55:2D:EE:77:B4', 'MaroonWifi']
['84:41:67:30:0C:B7', ' 2019-04-20 00:04:05', ' 2019-04-20 00:04:14', ' -49', '       43', ' E2:55:2D:EE:77:B4', 'MaroonWifi']
['84:41:67:30:0C:B7', ' 2019-04-20 00:04:05', ' 2019-04-20 00:04:14', ' -49', '       43', ' E2:55:2D:EE:77:B4', 'MaroonWifi']
['84:41:67:30:0C:B7', ' 2019-04-20 00:04:05', ' 2019-04-20 00:04:14', ' -49', '       43', ' E2:55:2D:EE:77:B4', 'MaroonWifi']
['84:41:67:30:0C:B7', ' 2019-04-20 00:04:05', ' 2019-04-20 00:04:14', ' -49', '       43', ' E2:55:2D:EE:77:B4', 'MaroonWifi']
['84:41:67:30:0C:B7', ' 2019-04-20 00:04:05', ' 2019-04-20 00:04:14', ' -49', '       43', ' E2:55:2D:EE:77:B4', 'MaroonWifi']
['84:41:67:30:0C:B7', ' 2019-04-20 00:04:05', ' 2019-04-20 00:04:14', ' -49', '       43', ' E2:55:2D:EE:77:B4', 'MaroonWifi']
['84:41:67:30:0C:B7', ' 2019-04-20 00:04:05', ' 2019-04-20 00:04:14', ' -49', '       43', ' E2:55:2D:EE:77:B4', 'MaroonWifi']
['84:41:67:30:0C:B7', ' 2019-04-20 00:04:05', ' 2019-04-20 00:04:14', ' -49', '       43', ' E2:55:2D:EE:77:B4', 'MaroonWifi']
['84:41:67:30:0C:B7', ' 2019-04-20 00:04:05', ' 2019-04-20 00:04:14', ' -49', '       43', ' E2:55:2D:EE:77:B4', 'MaroonWifi']
['84:41:67:30:0C:B7', ' 2019-04-20 00:04:05', ' 2019-04-20 00:04:14', ' -49', '       43', ' E2:55:2D:EE:77:B4', 'MaroonWifi']
['84:41:67:30:0C:B7', ' 2019-04-20 00:04:05', ' 2019-04-20 00:04:14', ' -49', '       43', ' E2:55:2D:EE:77:B4', 'MaroonWifi']
['84:41:67:30:0C:B7', ' 2019-04-20 00:04:05', ' 2019-04-20 00:04:14', ' -49', '       43', ' E2:55:2D:EE:77:B4', 'MaroonWifi']
['84:41:67:30:0C:B7', ' 2019-04-20 00:04:05', ' 2019-04-20 00:04:14', ' -49', '       43', ' E2:55:2D:EE:77:B4', 'MaroonWifi']
['84:41:67:30:0C:B7', ' 2019-04-20 00:04:05', ' 2019-04-20 00:04:14', ' -49', '       43', ' E2:55:2D:EE:77:B4', 'MaroonWifi']
['84:41:67:30:0C:B7', ' 2019-04-20 00:04:05', ' 2019-04-20 00:04:14', ' -49', '       43', ' E2:55:2D:EE:77:B4', 'MaroonWifi']
['84:41:67:30:0C:B7', ' 2019-04-20 00:04:05', ' 2019-04-20 00:04:14', ' -49', '       43', ' E2:55:2D:EE:77:B4', 'MaroonWifi']
['84:41:67:30:0C:B7', ' 2019-04-20 00:04:05', ' 2019-04-20 00:04:14', ' -49', '       43', ' E2:55:2D:EE:77:B4', 'MaroonWifi']
['84:41:67:30:0C:B7', ' 2019-04-20 00:04:05', ' 2019-04-20 00:04:14', ' -49', '       43', ' E2:55:2D:EE:77:B4', 'MaroonWifi']
['84:41:67:30:0C:B7', ' 2019-04-20 00:04:05', ' 2019-04-20 00:04:14', ' -49', '       43', ' E2:55:2D:EE:77:B4', 'MaroonWifi']
['84:41:67:30:0C:B7', ' 2019-04-20 00:04:05', ' 2019-04-20 00:04:14', ' -49', '       43', ' E2:55:2D:EE:77:B4', 'MaroonWifi']
['84:41:67:30:0C:B7', ' 2019-04-20 00:04:05', ' 2019-04-20 00:04:14', ' -49', '       43', ' E2:55:2D:EE:77:B4', 'MaroonWifi']
