['D4:61:9D:4C:AD:F2', ' 2019-04-20 00:09:16', ' 2019-04-20 00:09:16', ' -45', '        1', ' (not associated) ', '']
['D4:61:9D:4C:AD:F2', ' 2019-04-20 00:09:16', ' 2019-04-20 00:09:16', ' -45', '        1', ' (not associated) ', '']
['D4:61:9D:4C:AD:F2', ' 2019-04-20 00:09:16', ' 2019-04-20 00:09:16', ' -45', '        1', ' (not associated) ', '']
['D4:61:9D:4C:AD:F2', ' 2019-04-20 00:09:16', ' 2019-04-20 00:09:16', ' -45', '        1', ' (not associated) ', '']
['D4:61:9D:4C:AD:F2', ' 2019-04-20 00:09:16', ' 2019-04-20 00:09:16', ' -45', '        1', ' (not associated) ', '']
['D4:61:9D:4C:AD:F2', ' 2019-04-20 00:09:16', ' 2019-04-20 00:09:27', ' -39', '        2', ' (not associated) ', 'MaroonWifi']
['D4:61:9D:4C:AD:F2', ' 2019-04-20 00:09:16', ' 2019-04-20 00:09:27', ' -39', '        2', ' (not associated) ', 'MaroonWifi']
['D4:61:9D:4C:AD:F2', ' 2019-04-20 00:09:16', ' 2019-04-20 00:09:35', ' -39', '        5', ' (not associated) ', 'MaroonWifi']
['D4:61:9D:4C:AD:F2', ' 2019-04-20 00:09:16', ' 2019-04-20 00:09:39', ' -87', '       15', ' E0:55:3D:EE:6E:E0', 'MaroonWifi']
['D4:61:9D:4C:AD:F2', ' 2019-04-20 00:09:16', ' 2019-04-20 00:09:39', ' -87', '       15', ' E0:55:3D:EE:6E:E0', 'MaroonWifi']
['D4:61:9D:4C:AD:F2', ' 2019-04-20 00:09:16', ' 2019-04-20 00:09:39', ' -87', '       15', ' E0:55:3D:EE:6E:E0', 'MaroonWifi']
['D4:61:9D:4C:AD:F2', ' 2019-04-20 00:09:16', ' 2019-04-20 00:09:39', ' -87', '       15', ' E0:55:3D:EE:6E:E0', 'MaroonWifi']
['D4:61:9D:4C:AD:F2', ' 2019-04-20 00:09:16', ' 2019-04-20 00:09:39', ' -87', '       15', ' E0:55:3D:EE:6E:E0', 'MaroonWifi']
['D4:61:9D:4C:AD:F2', ' 2019-04-20 00:09:16', ' 2019-04-20 00:09:54', ' -41', '       27', ' E0:55:3D:EE:6E:E0', 'MaroonWifi']
['D4:61:9D:4C:AD:F2', ' 2019-04-20 00:09:16', ' 2019-04-20 00:09:54', ' -41', '       27', ' E0:55:3D:EE:6E:E0', 'MaroonWifi']
['D4:61:9D:4C:AD:F2', ' 2019-04-20 00:09:16', ' 2019-04-20 00:09:58', ' -45', '       43', ' E0:55:3D:EE:6E:E0', 'MaroonWifi']
['D4:61:9D:4C:AD:F2', ' 2019-04-20 00:09:16', ' 2019-04-20 00:09:58', ' -45', '       43', ' E0:55:3D:EE:6E:E0', 'MaroonWifi']
['D4:61:9D:4C:AD:F2', ' 2019-04-20 00:09:16', ' 2019-04-20 00:09:58', ' -45', '       43', ' E0:55:3D:EE:6E:E0', 'MaroonWifi']
['D4:61:9D:4C:AD:F2', ' 2019-04-20 00:09:16', ' 2019-04-20 00:09:58', ' -45', '       43', ' E0:55:3D:EE:6E:E0', 'MaroonWifi']
['D4:61:9D:4C:AD:F2', ' 2019-04-20 00:09:16', ' 2019-04-20 00:09:58', ' -45', '       43', ' E0:55:3D:EE:6E:E0', 'MaroonWifi']
['D4:61:9D:4C:AD:F2', ' 2019-04-20 00:09:16', ' 2019-04-20 00:09:58', ' -45', '       43', ' E0:55:3D:EE:6E:E0', 'MaroonWifi']
['D4:61:9D:4C:AD:F2', ' 2019-04-20 00:09:16', ' 2019-04-20 00:09:58', ' -45', '       43', ' E0:55:3D:EE:6E:E0', 'MaroonWifi']
['D4:61:9D:4C:AD:F2', ' 2019-04-20 00:09:16', ' 2019-04-20 00:09:58', ' -45', '       43', ' E0:55:3D:EE:6E:E0', 'MaroonWifi']
['D4:61:9D:4C:AD:F2', ' 2019-04-20 00:09:16', ' 2019-04-20 00:09:58', ' -45', '       43', ' E0:55:3D:EE:6E:E0', 'MaroonWifi']
['D4:61:9D:4C:AD:F2', ' 2019-04-20 00:09:16', ' 2019-04-20 00:09:58', ' -45', '       43', ' E0:55:3D:EE:6E:E0', 'MaroonWifi']
['D4:61:9D:4C:AD:F2', ' 2019-04-20 00:09:16', ' 2019-04-20 00:09:58', ' -45', '       43', ' E0:55:3D:EE:6E:E0', 'MaroonWifi']
['D4:61:9D:4C:AD:F2', ' 2019-04-20 00:09:16', ' 2019-04-20 00:09:58', ' -45', '       43', ' E0:55:3D:EE:6E:E0', 'MaroonWifi']
['D4:61:9D:4C:AD:F2', ' 2019-04-20 00:09:16', ' 2019-04-20 00:09:58', ' -45', '       43', ' E0:55:3D:EE:6E:E0', 'MaroonWifi']
['D4:61:9D:4C:AD:F2', ' 2019-04-20 00:09:16', ' 2019-04-20 00:09:58', ' -45', '       43', ' E0:55:3D:EE:6E:E0', 'MaroonWifi']
['D4:61:9D:4C:AD:F2', ' 2019-04-20 00:09:16', ' 2019-04-20 00:09:58', ' -45', '       43', ' E0:55:3D:EE:6E:E0', 'MaroonWifi']
['D4:61:9D:4C:AD:F2', ' 2019-04-20 00:09:16', ' 2019-04-20 00:09:58', ' -45', '       43', ' E0:55:3D:EE:6E:E0', 'MaroonWifi']
['D4:61:9D:4C:AD:F2', ' 2019-04-20 00:09:16', ' 2019-04-20 00:09:58', ' -45', '       43', ' E0:55:3D:EE:6E:E0', 'MaroonWifi']
