['84:41:67:30:0C:B7', ' 2019-04-19 23:59:35', ' 2019-04-19 23:59:39', ' -33', '       99', ' E0:55:3D:EE:77:B4', 'MaroonWifi']
['84:41:67:30:0C:B7', ' 2019-04-19 23:59:35', ' 2019-04-19 23:59:39', ' -33', '       99', ' E0:55:3D:EE:77:B4', 'MaroonWifi']
['84:41:67:30:0C:B7', ' 2019-04-19 23:59:35', ' 2019-04-19 23:59:44', ' -33', '      123', ' E0:55:3D:EE:77:B4', 'MaroonWifi']
['84:41:67:30:0C:B7', ' 2019-04-19 23:59:35', ' 2019-04-19 23:59:44', ' -33', '      123', ' E0:55:3D:EE:77:B4', 'MaroonWifi']
['84:41:67:30:0C:B7', ' 2019-04-19 23:59:35', ' 2019-04-19 23:59:49', ' -43', '      137', ' E0:55:3D:EE:77:B4', 'MaroonWifi']
['84:41:67:30:0C:B7', ' 2019-04-19 23:59:35', ' 2019-04-19 23:59:52', ' -29', '      208', ' E0:55:3D:EE:77:B4', 'MaroonWifi']
['84:41:67:30:0C:B7', ' 2019-04-19 23:59:35', ' 2019-04-19 23:59:52', ' -29', '      208', ' E0:55:3D:EE:77:B4', 'MaroonWifi']
['84:41:67:30:0C:B7', ' 2019-04-19 23:59:35', ' 2019-04-19 23:59:52', ' -29', '      208', ' E0:55:3D:EE:77:B4', 'MaroonWifi']
['84:41:67:30:0C:B7', ' 2019-04-19 23:59:35', ' 2019-04-19 23:59:52', ' -29', '      208', ' E0:55:3D:EE:77:B4', 'MaroonWifi']
['84:41:67:30:0C:B7', ' 2019-04-19 23:59:35', ' 2019-04-19 23:59:52', ' -29', '      208', ' E0:55:3D:EE:77:B4', 'MaroonWifi']
['84:41:67:30:0C:B7', ' 2019-04-19 23:59:35', ' 2019-04-19 23:59:52', ' -29', '      208', ' E0:55:3D:EE:77:B4', 'MaroonWifi']
['84:41:67:30:0C:B7', ' 2019-04-19 23:59:35', ' 2019-04-19 23:59:52', ' -29', '      208', ' E0:55:3D:EE:77:B4', 'MaroonWifi']
['84:41:67:30:0C:B7', ' 2019-04-19 23:59:35', ' 2019-04-19 23:59:52', ' -29', '      208', ' E0:55:3D:EE:77:B4', 'MaroonWifi']
['84:41:67:30:0C:B7', ' 2019-04-19 23:59:35', ' 2019-04-19 23:59:52', ' -29', '      208', ' E0:55:3D:EE:77:B4', 'MaroonWifi']
['84:41:67:30:0C:B7', ' 2019-04-19 23:59:35', ' 2019-04-19 23:59:52', ' -29', '      208', ' E0:55:3D:EE:77:B4', 'MaroonWifi']
['84:41:67:30:0C:B7', ' 2019-04-19 23:59:35', ' 2019-04-19 23:59:52', ' -29', '      208', ' E0:55:3D:EE:77:B4', 'MaroonWifi']
['84:41:67:30:0C:B7', ' 2019-04-19 23:59:35', ' 2019-04-19 23:59:52', ' -29', '      208', ' E0:55:3D:EE:77:B4', 'MaroonWifi']
['84:41:67:30:0C:B7', ' 2019-04-19 23:59:35', ' 2019-04-19 23:59:52', ' -29', '      208', ' E0:55:3D:EE:77:B4', 'MaroonWifi']
['84:41:67:30:0C:B7', ' 2019-04-19 23:59:35', ' 2019-04-19 23:59:52', ' -29', '      208', ' E0:55:3D:EE:77:B4', 'MaroonWifi']
['84:41:67:30:0C:B7', ' 2019-04-19 23:59:35', ' 2019-04-19 23:59:52', ' -29', '      208', ' E0:55:3D:EE:77:B4', 'MaroonWifi']
['84:41:67:30:0C:B7', ' 2019-04-19 23:59:35', ' 2019-04-19 23:59:52', ' -29', '      208', ' E0:55:3D:EE:77:B4', 'MaroonWifi']
['84:41:67:30:0C:B7', ' 2019-04-19 23:59:35', ' 2019-04-19 23:59:52', ' -29', '      208', ' E0:55:3D:EE:77:B4', 'MaroonWifi']
['84:41:67:30:0C:B7', ' 2019-04-19 23:59:35', ' 2019-04-19 23:59:52', ' -29', '      208', ' E0:55:3D:EE:77:B4', 'MaroonWifi']
['84:41:67:30:0C:B7', ' 2019-04-19 23:59:35', ' 2019-04-19 23:59:52', ' -29', '      208', ' E0:55:3D:EE:77:B4', 'MaroonWifi']
['84:41:67:30:0C:B7', ' 2019-04-19 23:59:35', ' 2019-04-19 23:59:52', ' -29', '      208', ' E0:55:3D:EE:77:B4', 'MaroonWifi']
['84:41:67:30:0C:B7', ' 2019-04-19 23:59:35', ' 2019-04-19 23:59:52', ' -29', '      208', ' E0:55:3D:EE:77:B4', 'MaroonWifi']
['84:41:67:30:0C:B7', ' 2019-04-19 23:59:35', ' 2019-04-19 23:59:52', ' -29', '      208', ' E0:55:3D:EE:77:B4', 'MaroonWifi']
['84:41:67:30:0C:B7', ' 2019-04-19 23:59:35', ' 2019-04-19 23:59:52', ' -29', '      208', ' E0:55:3D:EE:77:B4', 'MaroonWifi']
['84:41:67:30:0C:B7', ' 2019-04-19 23:59:35', ' 2019-04-19 23:59:52', ' -29', '      208', ' E0:55:3D:EE:77:B4', 'MaroonWifi']
['84:41:67:30:0C:B7', ' 2019-04-19 23:59:35', ' 2019-04-19 23:59:52', ' -29', '      208', ' E0:55:3D:EE:77:B4', 'MaroonWifi']
['84:41:67:30:0C:B7', ' 2019-04-19 23:59:35', ' 2019-04-19 23:59:52', ' -29', '      208', ' E0:55:3D:EE:77:B4', 'MaroonWifi']
['84:41:67:30:0C:B7', ' 2019-04-19 23:59:35', ' 2019-04-19 23:59:52', ' -29', '      208', ' E0:55:3D:EE:77:B4', 'MaroonWifi']
['84:41:67:30:0C:B7', ' 2019-04-19 23:59:35', ' 2019-04-19 23:59:52', ' -29', '      208', ' E0:55:3D:EE:77:B4', 'MaroonWifi']
['84:41:67:30:0C:B7', ' 2019-04-19 23:59:35', ' 2019-04-19 23:59:52', ' -29', '      208', ' E0:55:3D:EE:77:B4', 'MaroonWifi']
['84:41:67:30:0C:B7', ' 2019-04-19 23:59:35', ' 2019-04-19 23:59:52', ' -29', '      208', ' E0:55:3D:EE:77:B4', 'MaroonWifi']
['84:41:67:30:0C:B7', ' 2019-04-19 23:59:35', ' 2019-04-19 23:59:52', ' -29', '      208', ' E0:55:3D:EE:77:B4', 'MaroonWifi']
